
🌊 HYBRID GENERATOR v0.8.2 (Mode: scenario)
   Target: 250000 | Offset: 750000 | Workers: 4

🟠 Pressure: 102% | T0: 750000 | Throttle: 100ms    
🟠 Pressure: 104% | T0: 765500 | Throttle: 100ms    
🟠 Pressure: 106% | T0: 775500 | Throttle: 100ms    
🟠 Pressure: 107% | T0: 785500 | Throttle: 100ms    
🟠 Pressure: 108% | T0: 795500 | Throttle: 100ms    
🟠 Pressure: 110% | T0: 805500 | Throttle: 100ms    
🔴 Pressure: 111% | T0: 815500 | Throttle: 1000ms    
🔴 Pressure: 111% | T0: 817500 | Throttle: 1000ms    
🔴 Pressure: 111% | T0: 817500 | Throttle: 1000ms    
🔴 Pressure: 111% | T0: 819500 | Throttle: 1000ms    
🔴 Pressure: 111% | T0: 819500 | Throttle: 1000ms    
🔴 Pressure: 112% | T0: 821500 | Throttle: 1000ms    
🔴 Pressure: 112% | T0: 822000 | Throttle: 1000ms    
🔴 Pressure: 112% | T0: 823500 | Throttle: 1000ms    
🔴 Pressure: 112% | T0: 825500 | Throttle: 1000ms    
🔴 Pressure: 112% | T0: 825500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 827500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 827500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 829500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 829500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 831500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 831500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 833500 | Throttle: 1000ms    
🔴 Pressure: 113% | T0: 833500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 835500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 835500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 837500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 837500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 839500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 839500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 841500 | Throttle: 1000ms    
🔴 Pressure: 114% | T0: 841500 | Throttle: 1000ms    
🔴 Pressure: 115% | T0: 843500 | Throttle: 1000ms    
🔴 Pressure: 115% | T0: 843500 | Throttle: 1000ms    
🔴 Pressure: 115% | T0: 845500 | Throttle: 1000ms    
🔴 Pressure: 115% | T0: 845500 | Throttle: 1000ms    
🔴 Pressure: 115% | T0: 847500 | Throttle: 1000ms    
🔴 Pressure: 115% | T0: 847500 | Throttle: 1000ms    
🔴 Pressure: 116% | T0: 849500 | Throttle: 1000ms    
